w,d,wall_h,has_upper,upper_h,has_chimney,has_porch,has_extension,roof_type,foundation_h,aspect_ratio,ext_w,score
6.0,5.0,5.0,0.0,0.0,1.0,0.0,0.0,gabled,2.0,1.2000000476837158,0.0,0.5
6.0,13.0,3.0,0.0,0.0,1.0,0.0,0.0,gabled,1.0,2.1666667461395264,0.0,0.5
8.0,8.0,5.0,0.0,0.0,1.0,0.0,0.0,steep,1.0,1.0,0.0,0.4
8.0,12.0,5.0,0.0,0.0,1.0,0.0,0.0,gabled,1.0,1.5,0.0,0.4
10.0,9.0,3.0,1.0,3.0,1.0,1.0,0.0,gabled,1.0,1.1111111640930176,0.0,0.2
5.0,12.0,5.0,0.0,0.0,1.0,0.0,0.0,gabled,1.0,2.4000000953674316,0.0,0.2
13.0,9.0,5.0,0.0,0.0,1.0,0.0,0.0,steep,1.0,1.4444444179534912,0.0,0.5
8.0,9.0,3.0,0.0,0.0,0.0,1.0,0.0,gabled,1.0,1.125,0.0,0.2
10.0,10.0,3.0,0.0,0.0,1.0,0.0,1.0,steep,2.0,1.0,5.0,0.1
8.0,7.0,4.0,1.0,2.0,1.0,0.0,0.0,steep,1.0,1.1428571939468384,0.0,0.5
5.0,10.0,4.0,0.0,0.0,1.0,0.0,0.0,gabled,2.0,2.0,0.0,0.1
10.0,8.0,5.0,0.0,0.0,1.0,0.0,0.0,gabled,1.0,1.25,0.0,0.3
8.0,13.0,5.0,0.0,0.0,1.0,0.0,0.0,gabled,1.0,1.625,0.0,0.3
7.0,13.0,4.0,1.0,2.0,0.0,1.0,0.0,gabled,2.0,1.8571428060531616,0.0,0.3
11.0,14.0,3.0,1.0,3.0,1.0,0.0,0.0,gabled,2.0,1.2727272510528564,0.0,0.3
6.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,gabled,1.0,2.1666667461395264,0.0,0.3
11.0,7.0,4.0,1.0,3.0,0.0,0.0,0.0,steep,1.0,1.5714285373687744,0.0,0.5
9.0,13.0,5.0,0.0,0.0,1.0,1.0,1.0,cross,2.0,1.4444444179534912,3.0,0.2
5.0,14.0,4.0,0.0,0.0,1.0,0.0,0.0,gabled,1.0,2.799999952316284,0.0,0.2
9.0,8.0,3.0,1.0,2.0,1.0,0.0,1.0,steep,1.0,1.125,3.0,0.1
7.0,12.0,5.0,0.0,0.0,1.0,0.0,0.0,steep,1.0,1.7142857313156128,0.0,0.2
13.0,8.0,5.0,0.0,0.0,1.0,0.0,0.0,gabled,2.0,1.625,0.0,0.4
12.0,6.0,3.0,1.0,3.0,1.0,0.0,0.0,steep,1.0,2.0,0.0,0.2
6.0,5.0,3.0,0.0,0.0,1.0,0.0,0.0,gabled,1.0,1.2000000476837158,0.0,0.2
6.0,13.0,3.0,0.0,0.0,1.0,0.0,0.0,gabled,2.0,2.1666667461395264,0.0,0.2
7.0,14.0,5.0,0.0,0.0,1.0,0.0,0.0,gabled,1.0,2.0,0.0,0.2
6.0,6.0,5.0,0.0,0.0,1.0,0.0,0.0,gabled,1.0,1.0,0.0,0.2
5.0,6.0,3.0,0.0,0.0,1.0,0.0,0.0,gabled,1.0,1.2000000476837158,0.0,0.2
8.0,8.0,3.0,1.0,2.0,1.0,1.0,1.0,gabled,1.0,1.0,3.0,0.2
13.0,6.0,3.0,0.0,0.0,1.0,1.0,0.0,gabled,1.0,2.1666667461395264,0.0,0.2
7.0,11.0,4.0,1.0,3.0,0.0,1.0,0.0,gabled,1.0,1.5714285373687744,0.0,0.2
9.0,12.0,4.0,1.0,3.0,1.0,1.0,0.0,steep,2.0,1.3333333730697632,0.0,0.2
5.0,10.0,3.0,0.0,0.0,1.0,0.0,0.0,gabled,2.0,2.0,0.0,0.1
7.0,5.0,5.0,0.0,0.0,1.0,1.0,0.0,steep,2.0,1.399999976158142,0.0,0.2
8.0,11.0,3.0,0.0,0.0,1.0,0.0,1.0,gabled,2.0,1.375,4.0,0.2
